연번,호선,역명,소요시간,역간거리(km),호선별누계(km),station_normalized,cumulative_distance
11,2,시청,00:00,0.0,0.0,시청,0.0
12,2,을지로입구,01:30,0.7,0.7,을지로입구,0.7
13,2,을지로3가,01:00,0.8,1.5,을지로3가,1.5
14,2,을지로4가,01:00,0.6,2.1,을지로4가,2.1
15,2,동대문역사문화공원,01:30,1.0,3.1,동대문역사문화공원,3.1
16,2,신당,01:30,0.9,4.0,신당,4.0
17,2,상왕십리,01:00,0.9,4.9,상왕십리,4.9
18,2,왕십리,01:00,0.8,5.7,왕십리,5.7
19,2,한양대,01:30,1.0,6.7,한양대,6.7
20,2,뚝섬,01:30,1.1,7.8,뚝섬,7.800000000000001
21,2,성수,01:00,0.8,8.6,성수,8.600000000000001
22,2,건대입구,01:30,1.2,9.8,건대입구,9.8
23,2,구의,02:00,1.6,11.4,구의,11.4
24,2,강변,01:00,0.9,12.3,강변,12.3
25,2,잠실나루,02:00,1.8,14.1,잠실나루,14.100000000000001
26,2,잠실,01:30,1.0,15.1,잠실,15.100000000000001
27,2,잠실새내,01:30,1.2,16.3,잠실새내,16.3
28,2,종합운동장,01:30,1.2,17.5,종합운동장,17.5
29,2,삼성,01:30,1.0,18.5,삼성,18.5
30,2,선릉,01:30,1.3,19.8,선릉,19.8
31,2,역삼,01:30,1.2,21.0,역삼,21.0
32,2,강남,01:00,0.8,21.8,강남,21.8
33,2,교대,01:30,1.2,23.0,교대,23.0
34,2,서초,01:00,0.7,23.7,서초,23.7
35,2,방배,02:00,1.7,25.4,방배,25.4
36,2,사당,02:30,1.6,27.0,사당,27.0
37,2,낙성대,02:00,1.7,28.7,낙성대,28.7
38,2,서울대입구,01:30,1.0,29.7,서울대입구,29.7
39,2,봉천,01:00,1.0,30.7,봉천,30.7
40,2,신림,01:30,1.1,31.8,신림,31.8
41,2,신대방,02:00,1.8,33.6,신대방,33.6
42,2,구로디지털단지,01:30,1.1,34.7,구로디지털단지,34.7
43,2,대림,01:30,1.1,35.8,대림,35.800000000000004
44,2,신도림,02:30,1.8,37.6,신도림,37.6
45,2,문래,02:00,1.2,38.8,문래,38.800000000000004
46,2,영등포구청,01:00,0.9,39.7,영등포구청,39.7
47,2,당산,01:30,1.1,40.8,당산,40.800000000000004
48,2,합정,02:30,2.0,42.8,합정,42.800000000000004
49,2,홍대입구,01:30,1.1,43.9,홍대입구,43.900000000000006
50,2,신촌,02:00,1.3,45.2,신촌,45.2
51,2,이대,01:00,0.8,46.0,이대,46.0
52,2,아현,01:00,0.9,46.9,아현,46.9
53,2,충정로,01:30,0.8,47.7,충정로,47.699999999999996
54,2,시청,01:30,1.1,48.8,시청,48.8
55,2,용답,03:00,2.3,51.1,용답,51.099999999999994
56,2,신답,01:30,1.0,52.1,신답,52.099999999999994
57,2,용두,01:30,0.9,53.0,용두,52.99999999999999
58,2,신설동,01:30,1.2,54.2,신설동,54.199999999999996
59,2,도림천,01:30,1.0,55.2,도림천,55.199999999999996
60,2,양천구청,02:30,1.7,56.9,양천구청,56.9
61,2,신정네거리,03:00,1.9,58.8,신정네거리,58.8
62,2,까치산,02:30,1.4,60.2,까치산,60.199999999999996
